Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,13,asymmetric,0.9099999999999999,0.4143915567575331
75% Corpus,13,asymmetric,symmetric,0.3930567053168285
75% Corpus,14,0.01,0.01,0.3298139515422941
75% Corpus,14,0.01,0.31,0.4686951624017563
75% Corpus,14,0.01,0.61,0.46189830381855
75% Corpus,14,0.01,0.9099999999999999,0.4188450836502179
75% Corpus,14,0.01,symmetric,0.3383425731517521
75% Corpus,14,0.31,0.01,0.3540701733861585
75% Corpus,14,0.31,0.31,0.494343019609907
75% Corpus,14,0.31,0.61,0.4579594511194961
75% Corpus,14,0.31,0.9099999999999999,0.4060737914714561
75% Corpus,14,0.31,symmetric,0.3770499319215884
75% Corpus,14,0.61,0.01,0.3813906695661104
75% Corpus,14,0.61,0.31,0.4401530322170806
75% Corpus,14,0.61,0.61,0.4649468468008247
75% Corpus,14,0.61,0.9099999999999999,0.3825106324426853
75% Corpus,14,0.61,symmetric,0.3833215189202695
75% Corpus,14,0.9099999999999999,0.01,0.3778146904088053
75% Corpus,14,0.9099999999999999,0.31,0.4315572413064014
75% Corpus,14,0.9099999999999999,0.61,0.388223027326544
75% Corpus,14,0.9099999999999999,0.9099999999999999,0.3405440803679119
75% Corpus,14,0.9099999999999999,symmetric,0.3797985842116408
75% Corpus,14,symmetric,0.01,0.3411962691218845
75% Corpus,14,symmetric,0.31,0.4731134672379045
75% Corpus,14,symmetric,0.61,0.4702994198158294
75% Corpus,14,symmetric,0.9099999999999999,0.4212730425013898
75% Corpus,14,symmetric,symmetric,0.3350380039742054
75% Corpus,14,asymmetric,0.01,0.3394284596989453
75% Corpus,14,asymmetric,0.31,0.4801671257215622
75% Corpus,14,asymmetric,0.61,0.4628454157460336
75% Corpus,14,asymmetric,0.9099999999999999,0.537069579949236
75% Corpus,14,asymmetric,symmetric,0.3668062111462315
75% Corpus,15,0.01,0.01,0.3702362007794134
75% Corpus,15,0.01,0.31,0.4868700256807807
75% Corpus,15,0.01,0.61,0.4738102522675822
75% Corpus,15,0.01,0.9099999999999999,0.4567770946908783
75% Corpus,15,0.01,symmetric,0.3622721717004541
75% Corpus,15,0.31,0.01,0.3753418064180319
75% Corpus,15,0.31,0.31,0.4737200333783659
75% Corpus,15,0.31,0.61,0.4726005473009066
75% Corpus,15,0.31,0.9099999999999999,0.4451077718399868
75% Corpus,15,0.31,symmetric,0.396242167763916
75% Corpus,15,0.61,0.01,0.3922838103630059
75% Corpus,15,0.61,0.31,0.437956155506662
75% Corpus,15,0.61,0.61,0.4936419212090085
75% Corpus,15,0.61,0.9099999999999999,0.423360907299936
75% Corpus,15,0.61,symmetric,0.406061157246699
75% Corpus,15,0.9099999999999999,0.01,0.4003256123721005
75% Corpus,15,0.9099999999999999,0.31,0.4051377932716463
75% Corpus,15,0.9099999999999999,0.61,0.434263009053038
75% Corpus,15,0.9099999999999999,0.9099999999999999,0.3193368742373365
75% Corpus,15,0.9099999999999999,symmetric,0.4087912529509204
75% Corpus,15,symmetric,0.01,0.3815268700523392
75% Corpus,15,symmetric,0.31,0.4792288346001633
75% Corpus,15,symmetric,0.61,0.4650505778237469
75% Corpus,15,symmetric,0.9099999999999999,0.4448641272779097
75% Corpus,15,symmetric,symmetric,0.3627877148801557
75% Corpus,15,asymmetric,0.01,0.3832482771329596
75% Corpus,15,asymmetric,0.31,0.4576186083035142
75% Corpus,15,asymmetric,0.61,0.5158794194556313
75% Corpus,15,asymmetric,0.9099999999999999,0.4444274710875737
75% Corpus,15,asymmetric,symmetric,0.3861236731318195
75% Corpus,16,0.01,0.01,0.3695391270970043
75% Corpus,16,0.01,0.31,0.4325027592793571
75% Corpus,16,0.01,0.61,0.447917836953414
75% Corpus,16,0.01,0.9099999999999999,0.3913044740886847
75% Corpus,16,0.01,symmetric,0.3774196422012288
75% Corpus,16,0.31,0.01,0.3741610343052412
